,link,Product_Name,RAM,SSD,Price,Previous_Price,Promote,Gift,Status
42,https://www.thegioididong.com/laptop/hp-15-fd0015tu-i7-a19c5pa,Trả góp 0%     Tặng Office              HP 15 fd0015TU i7 1355U (A19C5PA)           RAM 16 GB SSD 512 GB  19.890.000₫  21.990.000₫ -9%  Quà 1.190.000₫,16 GB,512 GB,19.890.000,21.990.000,-9%,1.190.000,0
43,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk050w,Trả góp 0%     Tặng Office              Asus Vivobook 14 X1404VA i5 1335U (NK050W)           RAM 16 GB SSD 512 GB  15.790.000₫  18.490.000₫ -14%  Quà 1.090.000₫,16 GB,512 GB,15.790.000,18.490.000,-14%,1.090.000,0
44,https://www.thegioididong.com/laptop/hp-victus-15-fb1022ax-r5-94f19pa,Trả góp 0%     Tặng Office              HP Gaming VICTUS 15 fb1022AX R5 7535HS (94F19PA)           RAM 16 GB SSD 512 GB  19.290.000₫  25.490.000₫ -24%  Quà 1.190.000₫,16 GB,512 GB,19.290.000,25.490.000,-24%,1.190.000,0
45,https://www.thegioididong.com/laptop/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008,Trả góp 0%     Tặng Office              Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H (NX.KQ4SV.008)           RAM 8 GB SSD 512 GB  15.990.000₫  20.490.000₫ -21%  Quà 1.890.000₫,8 GB,512 GB,15.990.000,20.490.000,-21%,1.890.000,0
46,https://www.thegioididong.com/laptop/msi-thin-15-b12uc-i5-2045vn?utm_flashsale=1,Trả góp 0%     Tặng Office              MSI Gaming Thin 15 B12UC i5 12450H (2045VN)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 16.990.000₫  20.990.000₫ -19%  Quà 990.000₫,16 GB,512 GB,16.990.000,20.990.000,-19%,N/A,0
47,https://www.thegioididong.com/laptop/asus-gaming-tuf-f15-fx507zc4-i5-hn330w,Trả góp 0%     Tặng Office              Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN330W)           RAM 16 GB SSD 512 GB  20.490.000₫  24.990.000₫ -18%  Quà 1.090.000₫,16 GB,512 GB,20.490.000,24.990.000,-18%,1.090.000,0
48,https://www.thegioididong.com/laptop/acer-aspire-3-a315-510p-32ef-i3-nxkdhsv001,Trả góp 0%      Tặng Office              Acer Aspire 3 A315 510P 32EF i3 N305 (NX.KDHSV.001)           RAM 8 GB SSD 256 GB  8.990.000₫  9.990.000₫ -10%  Quà 1.090.000₫,8 GB,256 GB,8.990.000,9.990.000,-10%,1.090.000,0
49,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i7-487vn,Trả góp 0%     Tặng Office              MSI Modern 15 B12MO i7 1255U (487VN)           RAM 16 GB SSD 512 GB  14.990.000₫  19.490.000₫ -23%  Quà 1.090.000₫,16 GB,512 GB,14.990.000,19.490.000,-23%,1.090.000,0
50,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa,Trả góp 0%     Tặng Office              HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA)           RAM 16 GB SSD 512 GB  17.490.000₫  20.990.000₫ -16%  Quà 1.190.000₫,16 GB,512 GB,17.490.000,20.990.000,-16%,1.190.000,0
51,https://www.thegioididong.com/laptop/asus-vivobook-k3605zc-i5-rp629w?utm_flashsale=1,Trả góp 0%     Tặng Office              Asus Gaming Vivobook K3605ZC i5 12500H (RP629W)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 19.490.000₫  24.990.000₫ -22%  Quà 1.090.000₫,16 GB,512 GB,19.490.000,24.990.000,-22%,1.090.000,0
52,https://www.thegioididong.com/laptop/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,Mẫu mới Trả góp 0%     Tặng Office              Acer Gaming Nitro AN515 58 773Y i7 12700H (NH.QFKSV.001.16G)                 Mẫu mới   RAM 16 GB SSD 512 GB  23.490.000₫  33.790.000₫ -30%  Quà 1.890.000₫,16 GB,512 GB,23.490.000,33.790.000,-30%,1.890.000,1
53,https://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x7pa?utm_flashsale=1,Trả góp 0%     Tặng Office              HP 240 G9 i3 1215U (6L1X7PA)           RAM 8 GB SSD 256 GB  Online giá rẻ quá 9.490.000₫  12.990.000₫ -26%  Quà 1.190.000₫,8 GB,256 GB,9.490.000,12.990.000,-26%,1.190.000,0
54,https://www.thegioididong.com/laptop/lenovo-loq-15arp9-r7-83jc0040vn,Trả góp 0%     Tặng Office              Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC0040VN)           RAM 24 GB SSD 512 GB  26.890.000₫  29.490.000₫ -8%  Quà 1.090.000₫,24 GB,512 GB,26.890.000,29.490.000,-8%,1.090.000,0
55,https://www.thegioididong.com/laptop/hp-240-g10-i5-9h2e4pt,Trả góp 0%     Tặng Office              HP 240 G10 i5 1335U (9H2E4PT)           RAM 16 GB SSD 512 GB  16.790.000₫  19.590.000₫ -14%  Quà 1.190.000₫,16 GB,512 GB,16.790.000,19.590.000,-14%,1.190.000,0
56,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i5-nj1528w,Trả góp 0%     Tặng Office              Asus Vivobook 15 X1504ZA i5 1235U (NJ1528W)           RAM 16 GB SSD 1 TB  15.390.000₫  17.490.000₫ -12%  Quà 1.090.000₫,16 GB,N/A,15.390.000,17.490.000,-12%,1.090.000,0
57,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i5-nj1546w,Trả góp 0%     Tặng Office              Asus Vivobook 15 X1504ZA i5 1235U (NJ1546W)           RAM 16 GB SSD 512 GB  14.990.000₫  16.990.000₫ -11%  Quà 1.090.000₫,16 GB,512 GB,14.990.000,16.990.000,-11%,1.090.000,0
